"trip_id","duration","start_time","end_time","start_station","start_lat","start_lon","end_station","end_lat","end_lon","bike_id","plan_duration","trip_route_category","passholder_type"
144384076,9,"2017-07-01 01:10:00","2017-07-01 01:19:00",3037,39.954239,-75.161377,3039,39.971210,-75.159698,"03464",30,"One Way","Indego30"
144384074,14,"2017-07-01 01:13:00","2017-07-01 01:27:00",3045,39.947922,-75.162369,3039,39.971210,-75.159698,"02599",30,"One Way","Indego30"
144384073,1,"2017-07-01 01:14:00","2017-07-01 01:15:00",3005,39.947330,-75.144028,3005,39.947330,-75.144028,"03397",30,"Round Trip","Indego30"
144384072,15,"2017-07-01 01:16:00","2017-07-01 01:31:00",3053,39.932308,-75.181541,3053,39.932308,-75.181541,"03539",30,"Round Trip","Indego30"
144384071,12,"2017-07-01 01:20:00","2017-07-01 01:32:00",3124,39.952950,-75.139793,3101,39.942951,-75.159554,"03547",30,"One Way","Indego30"
144384070,9,"2017-07-01 01:21:00","2017-07-01 01:30:00",3068,39.935490,-75.167107,3012,39.942181,-75.177467,"03380",30,"One Way","Indego30"
144384069,29,"2017-07-01 01:23:00","2017-07-01 01:52:00",3046,39.950119,-75.144722,3158,39.925522,-75.169037,11721,30,"One Way","Indego30"
144384068,20,"2017-07-01 01:26:00","2017-07-01 01:46:00",3052,39.947319,-75.156952,3070,39.960621,-75.139832,11004,30,"One Way","Indego30"
144384066,14,"2017-07-01 01:27:00","2017-07-01 01:41:00",3033,39.950050,-75.156723,3100,39.927769,-75.151031,"02685",30,"One Way","Indego30"
144384067,5,"2017-07-01 01:27:00","2017-07-01 01:32:00",3033,39.950050,-75.156723,3046,39.950119,-75.144722,"02639",0,"One Way","Walk-up"
144384065,16,"2017-07-01 01:28:00","2017-07-01 01:44:00",3045,39.947922,-75.162369,3045,39.947922,-75.162369,"02539",30,"Round Trip","Indego30"
144384063,9,"2017-07-01 01:32:00","2017-07-01 01:41:00",3054,39.962502,-75.174202,3023,39.950481,-75.172859,"05211",30,"One Way","Indego30"
144384064,4,"2017-07-01 01:32:00","2017-07-01 01:36:00",3034,39.933151,-75.162483,3157,39.925449,-75.159538,"03664",0,"One Way","Walk-up"
144384061,11,"2017-07-01 01:33:00","2017-07-01 01:44:00",3045,39.947922,-75.162369,3045,39.947922,-75.162369,"05401",0,"Round Trip","Walk-up"
144384062,8,"2017-07-01 01:33:00","2017-07-01 01:41:00",3098,39.934311,-75.160423,3045,39.947922,-75.162369,"03372",0,"One Way","Walk-up"
144384060,11,"2017-07-01 01:34:00","2017-07-01 01:45:00",3088,39.969841,-75.141800,3019,39.954029,-75.149834,"05345",30,"One Way","Indego30"
144384059,12,"2017-07-01 01:35:00","2017-07-01 01:47:00",3054,39.962502,-75.174202,3012,39.942181,-75.177467,11904,30,"One Way","Indego30"
144384058,11,"2017-07-01 01:46:00","2017-07-01 01:57:00",3019,39.954029,-75.149834,3010,39.947109,-75.166183,"03614",30,"One Way","Indego30"
144406375,16,"2017-07-01 01:46:00","2017-07-01 02:02:00",3111,39.978039,-75.212196,3022,39.954720,-75.183228,"03689",0,"One Way","Walk-up"
144384057,8,"2017-07-01 01:48:00","2017-07-01 01:56:00",3069,39.937038,-75.150383,3125,39.943909,-75.167351,"02537",0,"One Way","Walk-up"
144384055,10,"2017-07-01 01:49:00","2017-07-01 01:59:00",3010,39.947109,-75.166183,3069,39.937038,-75.150383,"03409",30,"One Way","Indego30"
144384056,2,"2017-07-01 01:49:00","2017-07-01 01:51:00",3153,39.972160,-75.129936,3153,39.972160,-75.129936,"03442",30,"Round Trip","Indego30"
144406370,11,"2017-07-01 01:51:00","2017-07-01 02:02:00",3070,39.960621,-75.139832,3077,39.972069,-75.163513,"03552",0,"One Way","Walk-up"
145113189,1440,"2017-07-01 01:54:00","2017-07-02 09:16:00",3105,39.966518,-75.129959,3000,"","","02563",0,"One Way","Walk-up"
144774502,982,"2017-07-01 01:55:00","2017-07-01 18:17:00",3098,39.934311,-75.160423,3000,"","","03565",0,"One Way","Walk-up"
144406369,13,"2017-07-01 01:58:00","2017-07-01 02:11:00",3026,39.941380,-75.145638,3063,39.946331,-75.169800,"03404",30,"One Way","Indego30"
144406368,9,"2017-07-01 02:16:00","2017-07-01 02:25:00",3023,39.950481,-75.172859,3101,39.942951,-75.159554,"03534",30,"One Way","Indego30"
144406367,8,"2017-07-01 02:18:00","2017-07-01 02:26:00",3026,39.941380,-75.145638,3007,39.945171,-75.159927,"02613",0,"One Way","Walk-up"
144406366,6,"2017-07-01 02:20:00","2017-07-01 02:26:00",3030,39.939350,-75.157158,3034,39.933151,-75.162483,11832,30,"One Way","Indego30"
144406364,7,"2017-07-01 02:25:00","2017-07-01 02:32:00",3066,39.945610,-75.173477,3030,39.939350,-75.157158,"02556",30,"One Way","Indego30"
144406365,6,"2017-07-01 02:25:00","2017-07-01 02:31:00",3161,39.954861,-75.180908,3032,39.945271,-75.179710,"03347",30,"One Way","Indego30"
144428700,73,"2017-07-01 02:30:00","2017-07-01 03:43:00",3024,39.948219,-75.209084,3024,39.948219,-75.209084,"02696",0,"Round Trip","Walk-up"
144428701,73,"2017-07-01 02:30:00","2017-07-01 03:43:00",3024,39.948219,-75.209084,3024,39.948219,-75.209084,"05271",0,"Round Trip","Walk-up"
144428699,72,"2017-07-01 02:31:00","2017-07-01 03:43:00",3024,39.948219,-75.209084,3024,39.948219,-75.209084,"03578",0,"Round Trip","Walk-up"
144406363,4,"2017-07-01 02:50:00","2017-07-01 02:54:00",3073,39.961430,-75.152420,3040,39.962891,-75.166061,11757,30,"One Way","Indego30"
144428695,50,"2017-07-01 02:50:00","2017-07-01 03:40:00",3075,39.967178,-75.161247,3058,39.967159,-75.170013,11962,30,"One Way","Indego30"
144428696,18,"2017-07-01 02:50:00","2017-07-01 03:08:00",3046,39.950119,-75.144722,3158,39.925522,-75.169037,"02667",30,"One Way","Indego30"
144428697,17,"2017-07-01 02:50:00","2017-07-01 03:07:00",3023,39.950481,-75.172859,3050,39.953388,-75.154259,"05211",30,"One Way","Indego30"
144428694,39,"2017-07-01 02:56:00","2017-07-01 03:35:00",3070,39.960621,-75.139832,3101,39.942951,-75.159554,11019,30,"One Way","Indego30"
144428693,8,"2017-07-01 02:58:00","2017-07-01 03:06:00",3033,39.950050,-75.156723,3023,39.950481,-75.172859,"02598",30,"One Way","Indego30"
144428692,11,"2017-07-01 02:59:00","2017-07-01 03:10:00",3018,39.952728,-75.159790,3010,39.947109,-75.166183,11900,30,"One Way","Indego30"
